omega [rad/s]; dynamic stiffness [N/m2]
0.0;187333333.33333328+18733333.333333332j
15.306122449;186041264.99802944+40389186.98298927j
30.612244898;184325258.29547736+62045040.63264519j
45.9183673469;182185313.225677+83700894.28230113j
61.2244897959;179621429.7886284+105356747.93195707j
76.5306122449;176633607.9843315+127012601.58161297j
91.8367346939;173221847.8127863+148668455.2312689j
107.142857143;169386149.27399293+170324308.88092485j
122.448979592;165126512.3679512+191980162.53058082j
137.755102041;160442937.0946612+213636016.18023673j
153.06122449;155335423.45412296+235291869.82989264j
168.367346939;149803971.44633645+256947723.47954857j
183.673469388;143848581.07130164+278603577.1292045j
198.979591837;137469252.32901862+300259430.77886045j
214.285714286;130665985.21948731+321915284.4285163j
229.591836735;123438779.74270767+343571138.0781722j
244.897959184;115787635.89867985+365226991.7278282j
260.204081633;107712553.68740374+386882845.3774841j
275.510204082;99213533.10887936+408538699.0271401j
290.816326531;90290574.16310668+430194552.6767959j
306.12244898;80943676.85008578+451850406.3264519j
321.428571429;71172841.16981655+473506259.9761079j
336.734693878;60978067.12229908+495162113.62576383j
352.040816327;50359354.707533345+516817967.2754197j
367.346938776;39316703.92551933+538473820.9250757j
382.653061224;27850114.7762571+560129674.5747317j
397.959183673;15959587.259746518+581785528.2243875j
413.265306122;3645121.3759877086+603441381.8740435j
428.571428571;-9093282.875019373+625097235.5236995j
443.87755102;-22255625.493274692+646753089.1733555j
459.183673469;-35841906.47877836+668408942.8230113j
474.489795918;-49852125.83153025+690064796.4726673j
489.795918367;-64286283.55153039+711720650.1223232j
505.102040816;-79144379.63877884+733376503.7719791j
520.408163265;-94426414.09327555+755032357.4216349j
535.714285714;-110132386.91502045+776688211.071291j
551.020408163;-126262298.10401373+798344064.7209469j
566.326530612;-142816147.66025528+819999918.3706027j
581.632653061;-159793935.58374494+841655772.0202587j
596.93877551;-177195661.87448305+863311625.6699147j
612.244897959;-195021326.5324693+884967479.3195704j
627.551020408;-213270929.55770394+906623332.9692267j
642.857142857;-231944470.9501868+928279186.6188825j
658.163265306;-251041950.70991778+949935040.2685384j
673.469387755;-270563368.83689725+971590893.9181943j
688.775510204;-290508725.3311249+993246747.5678501j
704.081632653;-310878020.1926008+1014902601.2175062j
719.387755102;-331671253.421325+1036558454.8671621j
734.693877551;-352888425.01729745+1058214308.516818j
750.0;-374529534.9805182+1079870162.1664739j
